NO,MOVIE_NM,DRCTR_NM,MAKR_NM,INCME_CMPNY_NM,DISTB_CMPNY_NM,OPN_DE,MOVIE_TY_NM,MOVIE_STLE_NM,NLTY_NM,TOT_SCRN_CO,SALES_PRICE,VIEWNG_NMPR_CO,SEOUL_SALES_PRICE,SEOUL_VIEWNG_NMPR_CO,GENRE_NM,GRAD_NM,MOVIE_SDIV_NM
36,커피 오어 티,데렉 후이,,(주)블루라벨픽쳐스,(주)넥스트엔터테인먼트월드(NEW),20210331,개봉영화,장편,중국,119,27529470,3766,24541970,3405,코미디,12세이상관람가,독립/예술영화
37,랜드,로빈 라이트,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),20210317,개봉영화,장편,미국,25,24080300,3722,18223100,3016,드라마,12세이상관람가,일반영화
38,국카스텐 콘서트 실황 : 해프닝,,(주)인터파크,,CGV ICECON,20210324,개봉영화,장편,한국,54,62325000,3485,34272000,1926,공연,전체관람가,일반영화
39,유어 아이즈 텔,미키 타카히로,,주식회사 더쿱,"(주)리틀빅픽쳐스,주식회사 더쿱",20210311,개봉영화,장편,일본,103,23015760,3370,13837020,2349,멜로/로맨스,15세이상관람가,독립/예술영화
40,아수라도,윤여창,굿픽처스,,(주)제이앤씨미디어그룹,20210318,개봉영화,장편,한국,101,27725060,3166,5309570,634,액션,청소년관람불가,일반영화
41,프라미싱 영 우먼,에머랄드 펜넬,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),20210224,개봉영화,장편,미국,70,22650900,2905,14029400,1916,범죄,15세이상관람가,일반영화
42,라라의 신비한 모험,리스 오스볼,,"주식회사 컨텐츠썬,와이드 릴리즈(주)",와이드 릴리즈(주),20210318,개봉영화,장편,기타,165,23300050,2808,4668900,535,애니메이션,전체관람가,독립/예술영화
43,부활: 그 증거,김상철,파이오니아21,,(주)영화사 진진,20201008,개봉영화,장편,한국,111,20945000,2715,4222000,536,다큐멘터리,전체관람가,독립/예술영화
44,잃어버린 얼굴 1895,이지나,(재)서울예술단,,(재)서울예술단,20210224,개봉영화,장편,한국,63,47893500,2613,23829500,1294,뮤지컬,전체관람가,일반영화
45,트웬티 해커,한현석,(주)도어이앤엠,,(주)도어이앤엠,20210324,개봉영화,장편,한국,74,13485500,2301,5603000,788,액션,15세이상관람가,일반영화
