NO,MOVIE_NM,DRCTR_NM,MAKR_NM,INCME_CMPNY_NM,DISTB_CMPNY_NM,OPN_DE,MOVIE_TY_NM,MOVIE_STLE_NM,NLTY_NM,TOT_SCRN_CO,SALES_PRICE,VIEWNG_NMPR_CO,SEOUL_SALES_PRICE,SEOUL_VIEWNG_NMPR_CO,GENRE_NM,GRAD_NM,MOVIE_SDIV_NM
157,프리키 데스데이,크리스토퍼 랜던,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),20201125,개봉영화,장편,미국,631,35000,4,0,0,코미디,청소년관람불가,일반영화
158,스카이와 친구들: 로보시티의 비밀,,,에이케이엔터테인먼트(주),와이드 릴리즈(주),20201210,개봉영화,장편,기타,83,16800,2,0,0,애니메이션,전체관람가,일반영화
159,가슴이 이쁜 그녀와 섹스판타지,아라시야마 미치루,,,(주)빅콘미디어,20210105,개봉영화,장편,일본,1,6000,1,0,0,성인물(에로),청소년관람불가,일반영화
160,가슴큰친구누나들-무삭제,이정석,스마일컨텐츠,,스마일컨텐츠,20210106,개봉영화,장편,한국,1,5000,1,0,0,멜로/로맨스,청소년관람불가,일반영화
161,개인교수 : 세 여자의 섹스수업,구재은,(주)영화사가을,,(주)영화사가을,20210101,개봉영화,장편,한국,1,6000,1,0,0,멜로/로맨스,청소년관람불가,일반영화
162,고독의 의리,시부야 슈이치,,,(주)영진크리에이티브,20210115,개봉영화,장편,일본,1,6000,1,0,0,멜로/로맨스,청소년관람불가,일반영화
163,괜찮아 몽정이야,최성은,윤스,,윤스,20210125,개봉영화,장편,한국,1,1000,1,1000,1,성인물(에로),청소년관람불가,일반영화
164,구멍새댁,신우찬,(주)영화사가을,,(주)영화사가을,20210111,개봉영화,장편,한국,1,6000,1,0,0,멜로/로맨스,청소년관람불가,일반영화
165,그녀의 은밀한 아르바이트,버드맨 텟페이,,,(주)영진크리에이티브,20210104,개봉영화,장편,일본,1,6000,1,0,0,멜로/로맨스,청소년관람불가,일반영화
166,김비서는 정말 왜 그럴까? - 무삭제판,김종석,컨텐츠레드,,(주)컨텐츠 빌리지,20210113,개봉영화,장편,한국,1,1000,1,0,0,멜로/로맨스,청소년관람불가,일반영화
167,나쁜 섹스 : 그놈에게 당한 날 무삭제,한대위,(주)영화사가을,,(주)영화사가을,20210119,개봉영화,장편,한국,1,6000,1,0,0,멜로/로맨스,청소년관람불가,일반영화
168,나쁜남자:남편 앞에서 당하다,하라다 칸토나,,,(주)영진크리에이티브,20210113,개봉영화,장편,일본,1,6000,1,0,0,멜로/로맨스,청소년관람불가,일반영화
169,남친을 훔치는 완벽한 방법,김레이,P&미디어,,P&미디어,20210120,개봉영화,장편,한국,1,2000,1,2000,1,멜로/로맨스,청소년관람불가,일반영화
170,내 아내의 스캔들,나카지마 타로,,,(주)영진크리에이티브,20210108,개봉영화,장편,일본,1,6000,1,0,0,멜로/로맨스,청소년관람불가,일반영화
171,내여자에게 남자가 생겼다,이하,(주)디에이치미디어,,(주)디에이치미디어,20210128,개봉영화,장편,한국,1,6000,1,0,0,멜로/로맨스,청소년관람불가,일반영화
172,다 해주는 친구엄마,아카바네 류지,,,(주)영진크리에이티브,20210108,개봉영화,장편,일본,1,6000,1,0,0,멜로/로맨스,청소년관람불가,일반영화
173,달콤한 처제,최성은,윤스,,윤스,20210125,개봉영화,장편,한국,1,1000,1,1000,1,성인물(에로),청소년관람불가,일반영화
174,뜨거운 방판녀:농익은 영업기술,버드맨 텟페이,,,(주)영진크리에이티브,20210125,개봉영화,장편,일본,1,6000,1,0,0,멜로/로맨스,청소년관람불가,일반영화
175,맛있는 동거 2 무삭제,김진우,(주)영화사가을,,(주)영화사가을,20210118,개봉영화,장편,한국,1,6000,1,0,0,멜로/로맨스,청소년관람불가,일반영화
176,바람난 아내:남편상사와 아찔한 섹스,버드맨 텟페이,,,(주)영진크리에이티브,20210104,개봉영화,장편,일본,1,6000,1,0,0,멜로/로맨스,청소년관람불가,일반영화
177,바람피기 좋은 하루 무삭제,김진우,(주)영화사가을,,(주)영화사가을,20210126,개봉영화,장편,한국,1,6000,1,0,0,멜로/로맨스,청소년관람불가,일반영화
178,버스납치,후카자와 요시후미,,,(주)영진크리에이티브,20210115,개봉영화,장편,일본,1,6000,1,0,0,코미디,12세이상관람가,일반영화
179,삼촌의 여자들 무삭제,최민현,(주)영화사가을,,(주)영화사가을,20210107,개봉영화,장편,한국,1,6000,1,0,0,멜로/로맨스,청소년관람불가,일반영화
180,새엄마들:대물이 필요해,쿠로아카 긴조,,,(주)영진크리에이티브,20210119,개봉영화,장편,일본,1,6000,1,0,0,멜로/로맨스,청소년관람불가,일반영화
181,새엄마의 섹스 스캔들,나가에 타카미,,,(주)영진크리에이티브,20210125,개봉영화,장편,일본,1,6000,1,0,0,멜로/로맨스,청소년관람불가,일반영화
182,성적은 크기순이 아니잖아,김종석,컨텐츠레드,,(주)컨텐츠 빌리지,20210128,개봉영화,장편,한국,1,1000,1,1000,1,멜로/로맨스,청소년관람불가,일반영화
183,섹귀 : 섹스에 미친 귀신들,한동호,주식회사 플릭스코,,주식회사 플릭스코,20210106,개봉영화,장편,한국,1,6000,1,0,0,드라마,청소년관람불가,일반영화
184,스와핑 : 내 아내의 친구 무삭제,김진우,(주)영화사가을,,(주)영화사가을,20210119,개봉영화,장편,한국,1,6000,1,0,0,멜로/로맨스,청소년관람불가,일반영화
185,쌓여버린 욕정:너무 하고싶어요,호소카와 켄,,,(주)영진크리에이티브,20210119,개봉영화,장편,일본,1,6000,1,0,0,멜로/로맨스,청소년관람불가,일반영화
186,어린 구멍 - 무삭제판,김종석,모히또필름,,(주)컨텐츠 빌리지,20210121,개봉영화,장편,한국,1,1000,1,1000,1,멜로/로맨스,청소년관람불가,일반영화
187,엄마의 사랑 무삭제,한대위,(주)영화사가을,,(주)영화사가을,20210112,개봉영화,장편,한국,1,6000,1,0,0,멜로/로맨스,청소년관람불가,일반영화
188,연애 : 아빠친구 무삭제,김부곤,(주)영화사가을,,(주)영화사가을,20210112,개봉영화,장편,한국,1,6000,1,0,0,멜로/로맨스,청소년관람불가,일반영화
189,예쁜 리포터,리차드 킴,영화사 산들바람,,(주)액티버스엔터테인먼트,20210129,개봉영화,장편,한국,1,6000,1,0,0,성인물(에로),청소년관람불가,일반영화
190,온천장 붕가붕가,이즈미 류지,,주식회사 미콘,주식회사 미콘,20210106,개봉영화,장편,일본,1,1000,1,0,0,드라마,청소년관람불가,일반영화
191,외출 3 무삭제,구재은,(주)영화사가을,,(주)영화사가을,20210102,개봉영화,장편,한국,1,6000,1,0,0,멜로/로맨스,청소년관람불가,일반영화
192,욕구불만녀:누구라도 오케이,진 류지,,,(주)영진크리에이티브,20210119,개봉영화,장편,일본,1,6000,1,0,0,멜로/로맨스,청소년관람불가,일반영화
193,원나잇 : 어플 만남의 목적,,,,(주)온비즈넷,20210115,개봉영화,장편,일본,1,6000,1,0,0,멜로/로맨스,청소년관람불가,일반영화
194,월세 대신 몸을 요구하는 여주인,사노 B사쿠,,,(주)영진크리에이티브,20210119,개봉영화,장편,일본,1,6000,1,0,0,멜로/로맨스,청소년관람불가,일반영화
