순번,영화명,감독,제작사,수입사,배급사,개봉일,영화유형,영화형태,국적,전국 스크린수,전국 매출액,전국 관객수,서울 매출액,서울 관객수,장르,등급,영화구분
23074,색정남녀,이동승,골든하베스트,효능영화제작사(주),,2000-03-18,개봉영화,장편,홍콩,0,0,0,0,27954,코미디,18세관람가,일반영화
23075,샌더,리차드 페핀,피엠 엔터테인먼트 그룹,(주)서울필름,,1998-04-25,개봉영화,장편,미국,0,0,0,0,339,SF,15세 미만인 자는 관람할 수 없는 등급,일반영화
23076,생과 사의 그 순간,박호진,신한영화(주),,,1986-10-25,개봉영화,장편,한국,0,0,0,0,2350,액션,연소자관람불가,일반영화
23077,생과부 위자료 청구소송,강우석,(주)시네마서비스,,(주)시네마서비스,1998-08-01,개봉영화,장편,한국,0,0,0,0,147037,드라마,18세 미만인 자는 관람할 수 없는 등급,일반영화
23078,생령,이케다 토시하루,,,,2003-05-30,개봉영화,장편,일본,0,0,0,0,0,공포(호러),15세관람가,일반영화
23079,생방송 에드TV,론 하워드,유니버셜 픽쳐스이메이진엔터테인먼트,UIP,,1999-06-05,개봉영화,장편,미국,0,0,0,0,8195,코미디,18세관람가,일반영화
23080,생사결(합작),이형표정소동,(주)동아수출공사,,,1982-10-01,개봉영화,장편,한국,0,0,0,0,26700,사극,국민학생관람불가,일반영화
23081,생사권속,장민,,우성시네마(주),,2000-03-25,개봉영화,장편,홍콩,0,0,0,0,80,액션,12세관람가,일반영화
23082,생사의 고백,코스타 가브라스,,화성영화,,1971-10-22,개봉영화,장편,프랑스,0,0,0,0,111275,드라마,,일반영화
23083,생사투,장철,신프로덕션,,,1974-02-28,개봉영화,장편,한국,0,N/A,0,N/A,31739,,,일반영화
23084,생일선물,미츠노 미치오,,네트워크티브이,,2001-02-10,개봉영화,장편,일본,0,0,0,0,12667,드라마,15세관람가,일반영화
23085,생존게임,루카 베르코비치,와너 비전 필름미라신코리아(주),,,1997-01-25,개봉영화,장편,미국,0,0,0,0,482,액션,고등학생이상관람가,일반영화
23086,생활의 발견,홍상수,미라신코리아(주),,(주)시네마서비스,2002-03-21,개봉영화,장편,한국,0,N/A,0,N/A,124682,드라마,18세관람가,독립/예술영화
23087,생활이 그대를 속일지라도,자크 르뒤,,(주)오성필름,,1994-03-26,개봉영화,장편,캐나다,0,0,0,0,500,드라마,연소자관람불가,일반영화
23088,샤넬,,,(주)황기성 사단,,1988-05-02,개봉영화,장편,미국,0,0,0,0,60257,드라마,연소자관람불가,일반영화
23089,샤도우 체이서,존 아이어스,,신라영화(주),,1992-06-20,개봉영화,장편,미국,0,0,0,0,1617,액션,고등학생이상관람가,일반영화
23090,샤도우 체이서 2,존 아이어스,,스크린라인,,1995-02-04,개봉영화,장편,미국,0,0,0,0,5257,액션,고등학생이상관람가,일반영화
23091,샤도우 체이서 3,존 아이어스,뉴라인 시네마누 이미지,(주)서울필름,,1995-06-03,개봉영화,장편,미국,0,0,0,0,1927,SF,고등학생이상관람가,일반영화
23092,샤도우 체이서 4,마크 로퍼,,(주)서울필름,,1996-09-07,개봉영화,장편,미국,0,0,0,0,786,SF,고등학생이상관람가,일반영화
23093,샤드라크,수잔나 스티론,밀레니엄 필름즈누 이미지 필름즈타이드워터,우성시네마,,1999-07-17,개봉영화,장편,미국,0,0,0,0,24,가족,15세 미만인 자는 관람할 수 없는 등급,일반영화
23094,샤만카,안드레이 줄랍스키,알헤나필름즈까날 플러스 폴스카카날 플뤼스 스튜디오Compagnie des FilmsFilm+ Pologne Visa Films,동아흥행㈜,,1999-09-04,개봉영화,장편,프랑스,0,0,0,0,49293,성인물(에로),18세관람가,일반영화
23095,샤머스,버즈 컬릭,콜럼비아 픽쳐스 코포레이션,한국예술영화주식회사,,1973-03-24,개봉영화,장편,미국,0,0,0,0,46980,액션,,일반영화
23096,샤샤를 위하여,알렉산더 아카디,,해성흥업,,1991-10-12,개봉영화,장편,프랑스,0,0,0,0,3578,드라마,고등학생이상관람가,일반영화
23097,샤우트,피터 R. 헌트,,(주)삼영필림,,1977-01-01,개봉영화,장편,영국,0,N/A,0,N/A,150818,드라마,,독립/예술영화
23098,샤인,스콧 힉스,오스트렐리안필름파이낸스코퍼레이션,(주)비싸이드 픽쳐스필립 스튜디오(주)시네마엔터(주)하명중 영화제작소,(주)비싸이드 픽쳐스필립 스튜디오(주)라이크콘텐츠,1997-01-25,개봉영화,장편,호주,0,0,0,0,151895,드라마,15세이상관람가중학생이상관람가,독립/예술영화
