감독,제작사,영화형태,국적,전국 스크린수,전국 관객수,장르,등급,영화구분,개봉월
15.03926069514884,13.774938706163994,장편,미국,1336,3399913,애니메이션,전체관람가,일반영화,06
15.036056073135306,15.036056073135306,장편,한국,1431,3389035,범죄,15세이상관람가,일반영화,03
13.66992643513266,15.035073305148996,장편,한국,736,3385706,드라마,12세이상관람가,일반영화,06
12.545855617695038,13.248778948445192,장편,미국,770,3379762,액션,12세이상관람가,일반영화,05
15.032123932588147,15.032123932588147,장편,영국,568,3375735,멜로/로맨스,15세이상관람가,일반영화,12
13.801853254166621,13.189165130559362,장편,한국,1307,3364079,범죄,청소년관람불가,일반영화,05
15.018338407079078,15.018338407079078,장편,한국,1541,3329518,스릴러,15세이상관람가,일반영화,11
14.898874221676337,14.298018679747795,장편,미국,1057,3324861,애니메이션,전체관람가,일반영화,07
13.58216965276182,13.708824539158718,장편,한국,1515,3317038,드라마,15세이상관람가,일반영화,12
14.462898911917515,15.003428367837412,장편,한국,1140,3280243,코미디,12세이상관람가,일반영화,09
13.882723509722666,14.069138591825496,장편,미국,940,3273879,액션,12세이상관람가,일반영화,12
15.908341865826443,15.263749532761022,장편,한국,1314,3266556,드라마,12세이상관람가,일반영화,12
13.058184611154436,13.058184611154436,장편,일본,1486,3265992,애니메이션,12세이상관람가,독립/예술영화,03
13.13631425126062,14.447987890692541,장편,미국,983,3247558,액션,15세이상관람가,일반영화,04
14.95911096516916,14.157957520284821,장편,미국,1113,3239371,액션,15세이상관람가,일반영화,07
14.06463883950566,14.553993167064037,장편,한국,1117,3189091,미스터리,15세이상관람가,일반영화,06
14.460131737628664,14.763766089031805,장편,한국,1041,3148038,코미디,15세이상관람가,일반영화,06
13.339634084429456,14.956558578378038,장편,미국,960,3130046,액션,12세이상관람가,일반영화,05
15.020417397515505,15.263749532761022,장편,한국,512,3125069,코미디,15세이상관람가,일반영화,07
13.258059393028724,14.953030690334302,장편,한국,806,3119023,드라마,15세이상관람가,일반영화,08
13.725575039769163,14.797531356816677,장편,미국,1200,3100113,범죄,12세이상관람가,일반영화,07
14.647156129365726,15.128432375964616,장편,한국,405,3068544,드라마,12세이상관람가,일반영화,01
13.316887005610965,13.790309769870937,장편,한국,379,3059812,드라마,15세이상관람가,일반영화,06
14.93061772176149,13.774938706163994,장편,미국,1357,3049894,액션,12세이상관람가,일반영화,05
15.172541797660623,14.92872734652038,장편,한국,926,3044134,코미디,15세이상관람가,일반영화,03
14.95911096516916,15.240149906896237,장편,미국,733,3039889,액션,12세이상관람가,일반영화,10
14.553638928333807,14.925760531979812,장편,한국,512,3035116,사극,청소년관람불가,일반영화,06
13.111574799190645,13.774938706163994,장편,미국,1605,3033052,애니메이션,전체관람가,일반영화,07
