영화명,감독,제작사,개봉일,영화형태,국적,전국 스크린수,전국 매출액,전국 관객수,서울 매출액,서울 관객수,장르,등급,영화구분
라라와 움직이는 비밀의 숲,왕운비,,2019-08-22,장편,중국,237,111951960.0,15484,9605750.0,1199,애니메이션,전체관람가,일반영화
브레이브 언더 파이어,알렉세이 누즈니,센트럴 파트너십,2021-03-17,장편,러시아,203,122427400.0,15435,29972800.0,4044,액션,12세이상관람가,일반영화
아메리칸 파이: 19금 동창회,존 허위츠헤이든 쉬로스버그,,2012-08-09,장편,미국,117,113072000.0,15431,47566500.0,6164,코미디,청소년관람불가,일반영화
조,드레이크 도리머스,,2019-07-11,장편,미국,69,127481096.0,15429,83601216.0,9788,멜로/로맨스,15세이상관람가,독립/예술영화
빛나는 순간,소준문,(주)명필름웬에버스튜디오명필름랩,2021-06-30,장편,한국,267,129246670.0,15389,44678770.0,5033,드라마,12세이상관람가,독립/예술영화
블랙핑크 더 무비,오윤동정수이,씨제이포디플렉스 주식회사,2021-08-04,장편,한국,147,200750000.0,15387,95239500.0,7247,공연,전체관람가,일반영화
극장판 요괴워치: 포에버 프렌즈,타카하시 시게하루,,2020-10-15,장편,일본,422,120684750.0,15386,15573740.0,1840,애니메이션,전체관람가,일반영화
볼츠와 블립,피터 레페니오티스,(주)레드로버툰박스 엔터테인먼트,2012-02-23,장편,한국,61,161329000.0,15386,43956000.0,4113,애니메이션,전체관람가,일반영화
더블패티,백승환,(주)백그림,2021-02-17,장편,한국,265,132609660.0,15383,58155590.0,6701,드라마,15세이상관람가,일반영화
극장판 날아라! 호빵맨 : 바나나섬을 되찾아줘,야노 히로유키,,2014-06-19,장편,일본,235,104193000.0,15382,15614300.0,2135,애니메이션,전체관람가,독립/예술영화
배드 지니어스,나타우트 푼프리야,조르 쾅 필름스,2017-11-02,장편,기타,200,120082336.0,15319,67369136.0,8285,스릴러,15세이상관람가,독립/예술영화
아스테릭스: 신들의 전당,루이 클리시알렉상드르 아스티에,SND 필름스,2015-04-30,장편,프랑스,104,108464000.0,15315,39258600.0,5139,애니메이션,전체관람가,일반영화
프로페서 앤 매드맨,P.B. 셰므란,볼티지 픽처스,2021-06-02,장편,미국,320,129813510.0,15289,61510030.0,7187,드라마,15세이상관람가,독립/예술영화
꼬마 유령,알랑 그스포너,,2015-06-11,장편,독일,176,110213300.0,15276,25780300.0,3466,판타지,전체관람가,독립/예술영화
아이 인 더 스카이,개빈 후드,엔터테인먼트 원,2016-07-14,장편,영국,205,116603200.0,15258,54966300.0,6999,전쟁,12세이상관람가,일반영화
쁘띠 마망,셀린 시아마,카날+,2021-10-07,장편,프랑스,97,138444540.0,15252,93476350.0,9785,드라마,전체관람가,독립/예술영화
스톤,존 커랜,,2011-10-06,장편,미국,77,116295000.0,15241,51204000.0,6305,드라마,청소년관람불가,일반영화
