영화명,감독,제작사,배급사,개봉일,국적,전국 스크린수,전국 매출액,전국 관객수,장르,등급,영화구분
피막,반종 피산다나쿤,,와이드 릴리즈(주),2014-09,기타,170.0,101978400.0,13484.0,코미디,12세이상관람가,독립/예술영화
원피스 3D : 밀짚모자 체이스,사토 히로유키,도에이,(주)미디어데이,2012-01,일본,111.0,91648500.0,13475.0,애니메이션,전체관람가,일반영화
임을 위한 행진곡,박기복,주식회사 무당벌레필름주식회사 에스케이엠엔터테인먼트(주)알앤오엔터테인먼트,(주)알앤오엔터테인먼트,2018-05,한국,160.0,101338200.0,13424.0,드라마,15세이상관람가,독립/예술영화
엔딩스 비기닝스,드레이크 도리머스,(주)씨제이이엔엠,(주)스마일이엔티(주)씨제이이엔엠,2020-06,미국,251.0,110180880.0,13401.0,드라마,15세이상관람가,독립/예술영화
베스트 오브 미,마이클 호프만,,플러스엠 엔터테인먼트,2015-06,미국,118.0,100915600.0,13399.0,드라마,15세이상관람가,일반영화
토마스와 친구들: 그레이트 레이스,데이비드 스토튼,,와이드 릴리즈(주),2017-11,영국,249.0,98705400.0,13314.0,애니메이션,전체관람가,일반영화
나이트폴,주현량,,(주)나이너스엔터테인먼트,2012-09,기타,108.0,99076000.0,13307.0,액션,청소년관람불가,일반영화
봄,조근현,(주)스튜디오후크,필라멘트픽쳐스,2014-11,한국,112.0,98566100.0,13234.0,드라마,청소년관람불가,독립/예술영화
키코리키: 시간여행,데니스 체르노프,,(주)박수엔터테인먼트,2019-04,러시아,292.0,95865460.0,13222.0,애니메이션,전체관람가,일반영화
귀향 끝나지 않은 이야기,조정래,주식회사 제이오엔터테인먼트코리아,커넥트픽쳐스(주),2017-09,한국,207.0,95769200.0,13193.0,드라마,15세이상관람가,독립/예술영화
벤 이즈 백,피터 헤지스,,(주)팝엔터테인먼트,2019-05,미국,78.0,105071865.0,13192.0,드라마,15세이상관람가,독립/예술영화
오피셜 시크릿,개빈 후드,엔터테인먼트 원,(주)팬엔터테인먼트,2019-11,영국,153.0,105679300.0,13163.0,스릴러,15세이상관람가,독립/예술영화
슈퍼스타 뚜루,빅토르 모니고테,,(주)박수엔터테인먼트,2020-06,스페인,300.0,101306020.0,13146.0,뮤지컬,전체관람가,일반영화
블랙버드,지나 프린스-바이스우드,,(주)영화사 빅,2015-01,미국,135.0,97711400.0,13130.0,드라마,15세이상관람가,독립/예술영화
도쿄 리벤저스,하나부사 츠토무,,(주)넥스트엔터테인먼트월드(NEW),2022-01,일본,216.0,128177240.0,13122.0,드라마,15세이상관람가,일반영화
퍼스널 쇼퍼,올리비에 아사야스,아르테 프랑스 시네마,아이 엠,2017-02,프랑스,79.0,105300600.0,13113.0,드라마,15세이상관람가,독립/예술영화
언플랜드,척 콘젤만캐리 솔로몬,퓨어 플릭스,(주)영화사오원,2020-12,미국,281.0,112081660.0,13087.0,드라마,15세이상관람가,일반영화
