NO,MOVIE_NM,DRCTR_NM,MAKR_NM,INCME_CMPNY_NM,DISTB_CMPNY_NM,OPN_DE,MOVIE_TY_NM,MOVIE_STLE_NM,NLTY_NM,TOT_SCRN_CO,SALES_PRICE,VIEWNG_NMPR_CO,SEOUL_SALES_PRICE,SEOUL_VIEWNG_NMPR_CO,GENRE_NM,GRAD_NM,MOVIE_SDIV_NM
100,아이들은 즐겁다,이지원,(주)영화사울림,,"메가박스중앙(주)플러스엠,(주)영화사울림",20210505,개봉영화,장편,한국,445,,89,,11,드라마,전체관람가,독립/예술영화
101,토토리! 우리 둘만의 여름,"실리에 살로몬센,아릴드 오스틴 아문센",,에이케이엔터테인먼트(주),(주)팝엔터테인먼트,20210519,개봉영화,장편,노르웨이,63,,69,,3,어드벤처,전체관람가,독립/예술영화
102,꽃장사,윤경식,(주)가온콘텐츠,,(주)가온콘텐츠,20210610,개봉영화,장편,한국,1,,60,,60,멜로/로맨스,청소년관람불가,일반영화
103,땀샘터진 간병인,나기라 겐조,,,(주)라온컴퍼니플러스,20210614,개봉영화,장편,일본,1,,60,,60,멜로/로맨스,청소년관람불가,일반영화
104,땀샘터진 형의 아내,나기라 겐조,,,(주)라온컴퍼니플러스,20210614,개봉영화,장편,일본,1,,60,,60,멜로/로맨스,청소년관람불가,일반영화
105,며느리 젖몸살 무삭제판,에로핑,(주)가온콘텐츠,,(주)가온콘텐츠,20210610,개봉영화,장편,한국,1,,60,,60,멜로/로맨스,청소년관람불가,일반영화
106,바보,,,,(주)라온컴퍼니플러스,20210610,개봉영화,장편,중국,1,,60,,60,드라마,전체관람가,일반영화
107,성욕 도우미,류타,,,(주)라온컴퍼니플러스,20210614,개봉영화,장편,일본,1,,60,,60,멜로/로맨스,청소년관람불가,일반영화
108,성욕에 눈뜬 아내,아나콘다 아나키,,,(주)라온컴퍼니플러스,20210614,개봉영화,장편,일본,1,,60,,60,멜로/로맨스,청소년관람불가,일반영화
109,수상한 가정부,윤경식,(주)가온콘텐츠,,(주)가온콘텐츠,20210610,개봉영화,장편,한국,1,,60,,60,멜로/로맨스,청소년관람불가,일반영화
110,여동생 미식회,아나콘다 아나키,,,(주)라온컴퍼니플러스,20210614,개봉영화,장편,일본,1,,60,,60,멜로/로맨스,청소년관람불가,일반영화
111,옆집 사는 가슴 큰 전업주부,김호,(주)디어프로덕션,,(주)디어프로덕션,20210610,개봉영화,장편,한국,1,,60,,60,멜로/로맨스,청소년관람불가,일반영화
112,위험한 삼촌들2,양호열,(주)라온컴퍼니플러스,,(주)가온콘텐츠,20210610,개봉영화,장편,한국,1,,60,,60,멜로/로맨스,청소년관람불가,일반영화
113,음란 며느리의 젖몸살,아나콘다 아나키,,,(주)라온컴퍼니플러스,20210614,개봉영화,장편,일본,1,,60,,60,멜로/로맨스,청소년관람불가,일반영화
114,음욕의 신혼생활,나기라 겐조,,,(주)라온컴퍼니플러스,20210614,개봉영화,장편,일본,1,,60,,60,멜로/로맨스,청소년관람불가,일반영화
115,자꾸 나만 먹어,맹진사,(주)담화,,(주)담화,20210611,개봉영화,장편,한국,1,,60,,60,성인물(에로),청소년관람불가,일반영화
116,팟캐스트 : 은밀한 상담,,,,(주)픽쳐레스크,20210617,개봉영화,장편,미국,1,,60,,60,멜로/로맨스,청소년관람불가,일반영화
117,한지붕 세가족2,양호열,(주)라온컴퍼니플러스,,(주)가온콘텐츠,20210610,개봉영화,장편,한국,1,,60,,60,멜로/로맨스,청소년관람불가,일반영화
118,한지붕 세가족3,양호열,(주)라온컴퍼니플러스,,(주)가온콘텐츠,20210610,개봉영화,장편,한국,1,,60,,60,멜로/로맨스,청소년관람불가,일반영화
119,저승보다 낯선,여균동,우사유필름,,(주)스튜디오 보난자,20210630,개봉영화,장편,한국,9,,58,,50,드라마,15세이상관람가,독립/예술영화
120,미션 파서블,김형주,(주)노시스컴퍼니,,(주)메리크리스마스,20210217,개봉영화,장편,한국,930,,52,0,0,코미디,15세이상관람가,일반영화
121,크라이시스,니콜라스 자렉키,,(주)누리픽쳐스,(주)누리픽쳐스,20210520,개봉영화,장편,독일,50,,50,,30,드라마,15세이상관람가,일반영화
122,내일의 기억,서유민,"(주)아이필름코퍼레이션,(주)토리픽쳐스",,"(주)아이필름코퍼레이션,씨제이 씨지브이(CJ CGV)(주)",20210421,개봉영화,장편,한국,957,,49,,28,미스터리,15세이상관람가,일반영화
123,더 배니싱,크리스토퍼 스미스,,주식회사 디에스이이디,주식회사 디에스이이디,20210630,개봉영화,장편,영국,5,,47,,39,공포(호러),15세이상관람가,독립/예술영화
124,레저렉션 이펙트,,,,(유)조이앤시네마,20210601,개봉영화,장편,기타,21,,30,,12,SF,청소년관람불가,일반영화
125,흐린 하늘에 웃다,모토히로 카츠유키,,,(주)미디어캐슬,20210616,개봉영화,장편,일본,3,,27,,26,액션,15세이상관람가,일반영화
126,어른들은 몰라요,이환,(주)돈키호테엔터테인먼트,,(주)리틀빅픽쳐스,20210415,개봉영화,장편,한국,209,,25,,8,드라마,청소년관람불가,독립/예술영화
127,홀로도모르:우크라이나 대학살,조지 멘델룩,,세도나아이(주),세도나아이(주),20210606,개봉영화,장편,캐나다,1,,25,,25,드라마,15세이상관람가,일반영화
128,써니,오오네 히토시,,(주)콘텐츠판다,(주)콘텐츠판다,20210526,개봉영화,장편,일본,6,,24,,23,드라마,15세이상관람가,독립/예술영화
129,더 엑시트,,,,(유)조이앤시네마,20210622,개봉영화,장편,미국,18,,23,,7,판타지,15세이상관람가,일반영화
130,파리의 별빛 아래,클로스 드렉셀,,판씨네마(주),판씨네마(주),20210505,개봉영화,장편,프랑스,34,,22,,1,드라마,전체관람가,독립/예술영화
131,구독좋아요알림설정,유진 코틀리야렌코,,주식회사 왓챠,주식회사 왓챠,20210519,개봉영화,장편,미국,16,,21,,15,코미디,청소년관람불가,일반영화
132,레 미제라블,,,(주)영화사 진진,(주)영화사 진진,20210415,개봉영화,장편,프랑스,97,,21,,2,드라마,15세이상관람가,독립/예술영화
133,코지 판 투테,,,,(주)케빈앤컴퍼니,20210418,개봉영화,장편,독일,7,,21,,16,공연,12세이상관람가,일반영화
134,가족이면 어때,전성기,주식회사 바나나픽쳐스,,주식회사 바나나픽쳐스,20210624,개봉영화,장편,한국,1,,20,0,0,성인물(에로),청소년관람불가,일반영화
135,비트클럽,전성기,주식회사 바나나픽쳐스,,주식회사 바나나픽쳐스,20210628,개봉영화,장편,한국,1,,20,0,0,성인물(에로),청소년관람불가,일반영화
136,완전한 타인,전성기,주식회사 바나나픽쳐스,,주식회사 바나나픽쳐스,20210624,개봉영화,장편,한국,1,,20,0,0,성인물(에로),청소년관람불가,일반영화
137,원주,전성기,주식회사 바나나픽쳐스,,주식회사 바나나픽쳐스,20210624,개봉영화,장편,한국,1,,20,0,0,성인물(에로),청소년관람불가,일반영화
138,장미의 전쟁,전성기,주식회사 바나나픽쳐스,,주식회사 바나나픽쳐스,20210628,개봉영화,장편,한국,1,,20,0,0,성인물(에로),청소년관람불가,일반영화
139,주부들의 육체 비밀,야신수,(주)이십일세기미디어,,(주)이십일세기미디어,20210629,개봉영화,장편,한국,1,,20,0,0,드라마,청소년관람불가,일반영화
140,갑자기 생긴 예쁜 여동생과 젖은밤,,,,(주)도키엔터테인먼트,20210625,개봉영화,장편,일본,1,,18,0,0,성인물(에로),청소년관람불가,일반영화
141,남자죽이는 J컵 노브라 치토세,가토 마사키,,,(주)도키엔터테인먼트,20210625,개봉영화,장편,일본,1,,18,0,0,성인물(에로),청소년관람불가,일반영화
142,남편에게 보여진 적이 없는 엉덩이,,,,(주)도키엔터테인먼트,20210625,개봉영화,장편,일본,1,,18,0,0,성인물(에로),청소년관람불가,일반영화
143,다리벌린 친구엄마 레이코,코지마 유키오,,,(주)도키엔터테인먼트,20210625,개봉영화,장편,일본,1,,18,0,0,성인물(에로),청소년관람불가,일반영화
144,데이트 어플에서 찾은 옆집유부녀,나베 아츠시,,,(주)도키엔터테인먼트,20210625,개봉영화,장편,일본,1,,18,0,0,성인물(에로),청소년관람불가,일반영화
145,도쿄관능소설 - 여작가의 사생활,타카하라 히데카즈,,,(주)도키엔터테인먼트,20210625,개봉영화,장편,일본,1,,18,0,0,성인물(에로),청소년관람불가,일반영화
146,딸과는 친구같은 관계라서 - 사위유혹,와타나베 준이치,,,(주)도키엔터테인먼트,20210625,개봉영화,장편,일본,1,,18,0,0,성인물(에로),청소년관람불가,일반영화
147,마사지로 알아버린 친구엄마의 지스팟,시로가와 노부,,,(주)도키엔터테인먼트,20210625,개봉영화,장편,일본,1,,18,0,0,성인물(에로),청소년관람불가,일반영화
148,마사지였을 뿐인데 오르가즘으로,,,,(주)도키엔터테인먼트,20210625,개봉영화,장편,일본,1,,18,0,0,성인물(에로),청소년관람불가,일반영화
149,배다른 여동생과 오빠,,,,(주)도키엔터테인먼트,20210625,개봉영화,장편,일본,1,,18,0,0,성인물(에로),청소년관람불가,일반영화
150,좁은집에서 달게 맛본 새엄마,다나카 켄타로,,,(주)도키엔터테인먼트,20210625,개봉영화,장편,일본,1,,18,0,0,성인물(에로),청소년관람불가,일반영화
151,천연거유 새엄마는 사사짱,코지마 유키오,,,(주)도키엔터테인먼트,20210625,개봉영화,장편,일본,1,,18,0,0,성인물(에로),청소년관람불가,일반영화
152,카오리의 야한 속옷을 훔쳐본 오후,코지마 유키오,,,(주)도키엔터테인먼트,20210625,개봉영화,장편,일본,1,,18,0,0,성인물(에로),청소년관람불가,일반영화
153,한여름밤 새엄마 유나와 부채,코지마 유키오,,,(주)도키엔터테인먼트,20210625,개봉영화,장편,일본,1,,18,0,0,성인물(에로),청소년관람불가,일반영화
154,훔쳐보는 아내의 정사-관음절정,시로가와 노부,,,(주)도키엔터테인먼트,20210625,개봉영화,장편,일본,1,,18,0,0,성인물(에로),청소년관람불가,일반영화
155,B급 청춘,민채연,유한회사 영화사 반딧불,,유한회사 영화사 반딧불,20210616,개봉영화,장편,한국,5,,18,,1,드라마,15세이상관람가,독립/예술영화
